The time incrementation between each measure is : 0.1
Time (ms)      V(t) 
0       -70
0.1       -69.1841
0.2       -68.3763
0.3       -67.5765
0.4       -66.7847
0.5       -66.0008
0.6       -65.2247
0.7       -64.4563
0.8       -63.6955
0.9       -62.9424
1       -62.1967
1.1       -61.4584
1.2       -60.7275
1.3       -60.0038
1.4       -59.2874
1.5       -58.5781
1.6       -57.8758
1.7       -57.1805
1.8       -56.4922
1.9       -55.8106
2       -55.1359
2.1       0
2.2       0
2.3       -70
2.4       -70
2.5       -70
2.6       -70
2.7       -70
2.8       -70
2.9       -70
3       -70
3.1       -70
3.2       -70
3.3       -70
3.4       -70
3.5       -70
3.6       -70
3.7       -70
3.8       -70
3.9       -70
4       -70
4.1       -70
4.2       -70
4.3       -69.1841
4.4       -68.3763
4.5       -67.5765
4.6       -66.7847
4.7       -66.0008
4.8       -65.2247
4.9       -64.4563
5       -63.6955
5.1       -62.9424
5.2       -62.1967
5.3       -61.4584
5.4       -60.7275
5.5       -60.0038
5.6       -59.2874
5.7       -58.5781
5.8       -57.8758
5.9       -57.1805
6       -56.4922
6.1       -55.8106
6.2       -55.1359
6.3       0
6.4       0
6.5       -70
6.6       -70
6.7       -70
6.8       -70
6.9       -70
7       -70
7.1       -70
7.2       -70
7.3       -70
7.4       -70
7.5       -70
7.6       -70
7.7       -70
7.8       -70
7.9       -70
8       -70
8.1       -70
8.2       -70
8.3       -70
8.4       -70
8.5       -69.1841
8.6       -68.3763
8.7       -67.5765
8.8       -66.7847
8.9       -66.0008
9       -65.2247
9.1       -64.4563
9.2       -63.6955
9.3       -62.9424
9.4       -62.1967
9.5       -61.4584
9.6       -60.7275
9.7       -60.0038
9.8       -59.2874
9.9       -58.5781
10       -57.8758
10.1       -57.1805
